保细节的网格刚性变形算法	提出了一种新的保细节的变形算法,可以使网格模型进行尽量刚性的变形,以减少变形中几何细节的扭曲.首先根据网格曲面局部细节的丰富程度,对原始网格进行聚类生成其简化网格;然后对简化网格进行变形,根据其相邻面片变形的相似性,对简化网格作进一步的合并,生成新的变形结果,将该变形传递给原始网格作为初始变形结果.由于对属于同一个类的网格顶点进行相同的刚性变形,可在变形中较好地保持该区域的表面细节,但分属不同类的顶点之间会出现变形的不连续.为此,通过迭代优化一个二次能量函数,对每个网格顶点的变形进行调整来得到最终变形结果.实验结果显示,该算法简单高效,结果令人满意.
一种基于混合模型的实时虚拟人服装动画方法	实时服装动画生成技术能够为三维虚拟角色实时地生成逼真的服装动态效果,在游戏娱乐、虚拟服装设计展示等领域有着广泛的应用前景.其难点在于如何建立服装动画计算模型,在实时计算的前提下获得最佳的服装动画生成效果.在对服装模型与人体模型在运动过程中发生的位置冲突(collision,也称碰撞)进行分析的基础上,研究并提出了一种基于混合模型的实时虚拟人服装动画计算模型.首先,根据服装动画样本数据中服装与人体发生位置冲突的信息,对服装与人体的运动相关性进行分析;在此基础上,提出并实现一种新的混合策略,将具有较好服装动态模拟效果的动力学计算模型与具有较高计算效率的几何变形方法进行混合,建立支持实时计算且效率可动态控制的服装动画计算模型.实验结果表明,该计算模型能够实时地生成具有较好视觉逼真性的服装动画.
人脸遮挡区域检测与重建	提出一种基于模糊主分量分析技术(FPCA)的人脸遮挡检测与去除方法.首先,有遮挡人脸被投影到特征脸空间并通过特征脸的线性组合得到一个重建人脸.计算重建图与原图的差图像,加权滤波后并归一化作为被遮挡的概率,以此概率为权重由原图和重建图合成新的人脸.在后续迭代中,根据遮挡概率使用模糊主分量分析进行分析重建,并使用累积误差进行遮挡检测.实验结果表明,算法可精确定位人脸遮挡区域,得到平滑自然的重建人脸图像,优于经典的迭代PCA方法.
一种基于奇异值分解的图像匹配算法	图像匹配技术在计算机视觉、遥感和医学图像分析等领域有着广泛的应用背景.针对传统的相关匹配算法计算量大、对图像旋转敏感等问题,提出一种新的基于奇异值分解的图像匹配算法.首先在待匹配图像中分别提取带主方向的角点作为特征点,通过计算特征点间经旋转补偿的归一化互相关值建立特征点相似度矩阵,然后利用奇异值分解算法生成特征点匹配矩阵并获得特征点间的一一对应关系.在复杂自然图像上的实验结果表明,算法能够匹配任意角度旋转的图像,对局部遮挡、光照变化、随机噪声等具有较强的健壮性,并具有较快的计算速度和较高的匹配精度.此外,该算法易于和其他匹配技术进行融合并获得性能提升,其与SIFT描述子结合的匹配实验结果表明,该算法具有良好的扩展性和实用性.
片相似性各项异性扩散图像去噪	提出了一种基于片相似性的各项异性扩散图像去噪方法.传统的各项异性图像去噪方法都是基于单个像素点的灰度相似性(或梯度信息),不能很好地保持弱梯度边缘和纹理等细节信息.基于片相似性的非局部图像去噪方法由于利用了邻域像素的灰度相似性,而能够很好地保持纹理等细节信息.将片相似性思想引入到各项异性扩散中,利用片相似性构造扩散函数,同时将片相似性各项异性扩散模型扩展到彩色图像的去噪.实验结果表明,提出的改进方法能很好地保持纹理等细节信息,不存在各项异性扩散普遍存在的明显的阶梯效应,同时比非局部图像去噪方法速度快.医学图像去噪实例也表明所提出方法具有很好的应用前景.
基于软硬数据的多点地质统计法在图像统计信息重构中的应用研究	仅使用硬数据或无条件数据时,图像统计信息的重构会比较困难而且精度不高.如果在重构过程中加入软数据,则可以提高图像重构的准确性.结合使用软数据和硬数据,提出了一种利用多点地质统计法重构图像统计信息的方法.该方法在再现训练图像特征模式的过程中,将软数据和硬数据同时作为条件数据,因此可以提高重构图像的精度.实验表明,与仅使用硬数据和无条件数据的情况相比,该方法重构的图像具有与真实体数据更为相似的结构特征.
一种基于自适应区域分割的地形模型简化方法	鉴于统一误差计算模型简化方法自适应性差的问题,提出了一种根据地势特征自适应分割地形区域从而有选择性地进行误差计算和模型简化的方法.针对地形模型数据量大的特点,建立了细节层次结构,并证明了空间快速索引方法的有效性.为了解决平缓地势区域分割困难的问题,提出了基于凸点和扩散点相结合的特征选择算法,并有效控制了特征点的密度.在此基础上提出了多分辨率邻域节点查找与匹配方法,实现了区域的快速粗粒度分割.提出了地表起伏度计算方法,进一步评价了分割区域的地势特征,从而对部分区域进行细分处理.在真实数据上进行了实验研究,结果表明算法性能以及简化模型的精度和自适应性较好.
基于样例的交互式三维动画的生成	在基于草图的三维动画复制的基础上,提出了基于样例的交互式三维动画生成方法.在保留源动画基本风格的前提下,用户可以加入自己的创作思想.该方法不需要源网格和目标网格有相同的顶点数和三角面片数,也不需要有类似的拓扑信息.该方法由以下几个步骤组成:1)使用线型草图在源网格和目标网格间建立对应关系;2)在目标对象上设置控制点;3)交互地调整控制点,通过优化算法,计算出对应于各个样例姿势的权重,合成适合各个控制点的目标对象的关键帧.该方法直观易用,可以生成逼真的三维动画.通过一系列不同的样例姿势,在不同数量控制点的情况下测试了计算结果,验证了其可行性.
一种挖掘压缩序列模式的有效算法	从序列数据库中挖掘频繁序列模式是数据挖掘领域的一个中心研究主题,而且该领域已经提出和研究了各种有效的序列模式挖掘算法.由于在挖掘过程中会产生大量的频繁序列模式,最近许多研究者已经不再聚焦于序列模式挖掘算法的效率,而更关注于如何让用户更容易地理解序列模式的结果集.受压缩频繁项集思想的启发,提出了一种CFSP(compressing frequent sequential patterns)算法,其可挖掘出少量有代表性的序列模式来表达全部频繁序列模式的信息,并且清除了大量的冗余序列模式.CFSP是一种two-steps的算法:在第1步,其获得了全部闭序列模式作为有代表性序列模式的候选集,与此同时还得到大多数的有代表性模式;在第2步,该算法只花费了少量的时间去发现剩余的有代表性序列模式.一个采用真实数据集与模拟数据集的实验研究也证明了CFSP算法具有高效性.
基于KL距离的非平衡数据半监督学习算法	在实际应用中,由于各种原因时常无法直接获得已标识反例,导致传统分类方法暂时失灵,因此,基于正例和未标识集的半监督学习顿时成了理论界研究的热点.研究者们提出了不同的解决方法,然而,这些方法都不能有效处理非平衡的分类问题,尤其当隐匿反例非常少或训练集中的实例分布不均匀时.因此,提出了一种基于KL距离的半监督分类算法——LiKL:依次挖掘出未标识集中的最可靠正例和反例,接着使用训练好的增强型分类器来分类.与其他方法相比,不仅提高了分类的查准率和查全率,而且具有鲁棒性.
